miner_id,blocks_mined,avg_transactions,avg_volume,avg_fee,fee_volatility,avg_block_size,difficulty,efficiency,profitability,last_block_id,last_block_time,age,label
0,8110,1112.8760789149198,10848.979161779438,19107428.891471606,73029959.73530664,636997.4431565967,7822986293738.625,0.10257887514757513,19105073.14878988,810900,2023-10-06 11:54:39+00:00,30.0,0
1,8110,1113.2482120838472,10876.172793717184,18822074.01532116,55467248.97797168,633592.2459926017,7822986293738.625,0.10235661323134114,18819753.453859527,810901,2023-10-06 12:01:05+00:00,386.0,0
2,8110,1120.4627620221947,10749.63344307129,19343609.96580066,95175182.4540315,632985.5474722565,7822986293738.625,0.1042326482996765,19341225.10450541,810902,2023-10-06 12:15:02+00:00,837.0,0
3,8110,1099.984956843403,10317.032438322634,18383928.441632178,59592572.98642355,631024.890998767,7822986293738.625,0.10661834819452544,18381661.898857966,810903,2023-10-06 12:27:41+00:00,759.0,0
4,8110,1123.2255240443897,11427.595816707626,20725251.906093664,149297994.50759736,633191.8479654747,7823308605144.058,0.09829062403503004,20722696.703047667,810904,2023-10-06 12:36:45+00:00,544.0,0
5,8110,1117.9822441430333,10802.388055637499,19635321.808914747,71514892.0081218,636626.1616522812,7823308605144.058,0.1034939902533387,19632900.98265301,810905,2023-10-06 12:45:49+00:00,544.0,0
6,8110,1117.3734895191121,9933.392749372586,18118770.33710568,50123873.93673027,636283.3057953144,7823308605144.058,0.11248659120918936,18116536.485504508,810906,2023-10-06 12:50:15+00:00,266.0,1
7,8110,1116.194944512947,10701.430328769899,18724283.18129629,69778610.35680655,636561.35351418,7823308605144.058,0.1043033417235868,18721974.676404007,810907,2023-10-06 13:37:00+00:00,2805.0,0
8,8110,1111.7681874229347,10136.224152101307,17807662.81072738,51139572.31487965,635394.4528976572,7823222102635.517,0.10968267579129531,17805467.315374065,810908,2023-10-06 13:37:21+00:00,21.0,1
9,8109,1108.706498951782,10435.620666487795,18754520.301790603,55063062.263453044,639320.2937476877,7817117985466.121,0.10624250673580884,18752207.78387423,810809,2023-10-05 23:52:08+00:00,360.0,0
10,8109,1120.3227278332718,10360.90805450642,18820867.118955392,47149770.86308295,636017.8322851153,7817117985466.121,0.10812978186268966,18818546.42017377,810810,2023-10-05 23:53:21+00:00,73.0,1
11,8109,1114.013071895425,10604.182271890637,18810881.053944867,95961706.98473375,639540.1725243557,7817117985466.121,0.10505412330079654,18808561.58649062,810811,2023-10-05 23:53:32+00:00,11.0,0
12,8109,1109.295104205204,10083.22878112695,17663550.492256712,44025452.82063594,631390.2454063386,7817394870539.799,0.11001387832054266,17661372.49589515,810812,2023-10-06 00:05:52+00:00,740.0,1
13,8109,1117.9043038599089,10387.070791748565,17887526.955407675,44681409.51853356,636405.8400542607,7817394870539.799,0.10762459660406459,17885321.34172637,810813,2023-10-06 00:36:01+00:00,1809.0,1
14,8109,1114.2672339376002,10212.442147783311,17883612.20574644,43762838.58939651,635346.0956961401,7817394870539.799,0.10910879276602328,17881407.074771624,810814,2023-10-06 00:37:56+00:00,115.0,1
15,8109,1112.9459859415465,10400.50925397916,18525518.890085425,50715541.23692601,638807.7545936614,7817394870539.799,0.10700879723900387,18523234.609087884,810815,2023-10-06 00:44:11+00:00,375.0,0
16,8109,1114.685534591195,10107.951241276189,17747137.661566094,61333395.369680054,636997.7129115798,7818679811042.091,0.11027808781261483,17744949.358525213,810816,2023-10-06 00:53:25+00:00,554.0,1
17,8109,1116.1751140707856,10287.854626690067,18214105.148060154,58995769.086060844,637798.9211986682,7818679811042.091,0.10849444850969735,18211859.265797753,810817,2023-10-06 00:59:14+00:00,349.0,1
18,8109,1113.940313232211,10491.072433364154,18798197.501129474,61442646.883658044,634631.373412258,7818679811042.091,0.10617983245349681,18795879.597615156,810818,2023-10-06 01:00:44+00:00,90.0,0
19,8109,1119.3329633740289,11302.358169964426,18749652.34303507,54652025.8792271,637714.7115550623,7818679811042.091,0.09903534700824765,18747340.425360218,810819,2023-10-06 01:13:59+00:00,795.0,0
20,8109,1110.415340979159,10426.218345595884,18194113.14417161,58934361.97775822,636238.134048588,7818664358907.108,0.1065022143381546,18191869.7270145,810820,2023-10-06 01:35:20+00:00,1281.0,0
21,8109,1102.6046368232828,10563.6324643456,19311429.701387897,120217560.78127739,636399.6018004686,7818664358907.108,0.10437741378684771,19309048.51400178,810821,2023-10-06 01:47:09+00:00,709.0,0
22,8109,1119.143544210137,10317.620489396952,17974639.770150486,50848911.60423824,635498.4359353804,7818664358907.108,0.10846915190960281,17972423.41506169,810822,2023-10-06 01:59:08+00:00,719.0,1
23,8109,1129.2040942163028,10259.447272372874,18079243.517271783,60650112.99087288,642838.831915156,7818664358907.108,0.11006480799964409,18077014.264063735,810823,2023-10-06 02:18:29+00:00,1161.0,1
24,8109,1113.9004809470957,10088.799630081874,17794229.322273534,50221721.021477975,637513.1631520533,7819400315599.237,0.11040961479953047,17792035.212616038,810824,2023-10-06 02:22:06+00:00,217.0,1
25,8109,1124.2764829202122,10283.623018088449,18509020.334540777,47944378.9040902,640765.811690714,7819400315599.237,0.10932688615116959,18506738.0878904,810825,2023-10-06 02:23:09+00:00,63.0,1
26,8109,1111.475890985325,10163.304659055906,18683068.692507986,124931319.10535128,637552.4195338513,7819400315599.237,0.10936166220254419,18680764.98490102,810826,2023-10-06 02:32:48+00:00,579.0,1
27,8109,1109.0103588605252,10736.266120123742,18731656.119888093,55735025.59791418,633533.7041558762,7819400315599.237,0.10329572185079554,18729346.42122966,810827,2023-10-06 02:35:32+00:00,164.0,0
28,8109,1111.0342828955481,10399.295689761777,18522079.588230662,50811185.38750044,631745.7216672832,7820040022416.134,0.10683745477006361,18519795.731314726,810828,2023-10-06 02:44:38+00:00,546.0,0
29,8109,1121.273399926008,10700.498408933874,18780626.446468484,66063590.78976642,639533.4023924035,7820040022416.134,0.10478702552675015,18778310.709545366,810829,2023-10-06 02:45:00+00:00,22.0,0
30,8109,1127.0218275989641,10838.527670750605,18267434.867532887,49530013.44222006,643594.7306696264,7820040022416.134,0.10398292663313466,18265182.409472775,810830,2023-10-06 02:48:44+00:00,224.0,0
31,8109,1103.4982118633618,10533.397035072216,18466985.223381426,64841209.50939652,634326.5762732766,7820040022416.134,0.10476185490673394,18464708.159852035,810831,2023-10-06 02:55:50+00:00,426.0,0
32,8109,1105.6299173757554,10262.71716942979,18664384.145487677,91189424.07451886,632913.9993834011,7820612235672.455,0.10773266953795219,18662082.741770603,810832,2023-10-06 03:18:03+00:00,1333.0,1
33,8109,1123.6939203354298,10529.428150540032,18257498.006311588,51598855.106998906,636243.0820076459,7820612235672.455,0.10671936825721073,18255246.773511797,810833,2023-10-06 03:22:54+00:00,291.0,0
34,8109,1114.2901714144778,10212.090252141203,17790775.494762734,45536269.37044013,634416.6778887656,7820612235672.455,0.10911479862614137,17788581.81097793,810834,2023-10-06 03:26:08+00:00,194.0,1
